Dim1,Dim2
-9.636638,2.8005617
2.1878946,-0.9912143
-5.5466633,-2.1339548
-1.179518,-0.5314142
4.3381457,-0.46952504
10.474102,2.104025
10.955834,1.7169849
4.2120275,-0.55203414
4.069536,2.5219257
-2.835379,-1.1445601
2.1184013,1.8338099
-2.0043073,-1.2473538
0.9203816,0.25791967
0.5992475,-0.14902787
2.4663246,1.074701
0.37322772,-2.0353673
-7.571947,-4.205184
2.9664724,1.0227432
-6.2288923,-3.1648483
-1.3289822,-1.730459
11.902451,2.2283502
6.9573784,-2.783449
2.4647563,-1.0811548
7.506053,1.2935209
6.4434247,0.17037316
4.3793464,3.7469015
3.876584,3.7991304
2.333098,-0.8960407
-2.0321093,-2.4755177
1.4862618,0.6603341
1.7276888,1.6298378
-6.823243,-3.9591591
0.4256754,1.8930712
-1.5639459,-4.5203905
6.09709,0.30074653
-6.751846,-3.7527113
9.150888,2.6876767
9.511923,4.878686
-7.4409904,0.49423224
-8.44853,1.1530077
-6.714898,0.2546141
7.1394796,3.889604
5.8923306,0.4133953
-8.0899,-5.415051
-1.4385972,-0.39624086
8.614186,-1.2724444
0.8014867,-1.4861445
-1.8155886,1.8674039
1.2859378,2.215284
6.763158,3.3754373
-0.8612431,0.37503323
11.691542,1.8121943
0.1189326,1.957292
-8.377167,3.4997954
-6.9807773,-3.916447
-8.05098,-5.600915
-5.5316215,-2.1634123
-3.9808865,-2.3193052
-4.298482,-2.295789
-0.98052746,3.0723212
-4.366037,-2.0541668
-5.036193,-2.0340137
6.3644314,4.615766
8.313828,-3.471413
6.5281305,-3.96722
5.217424,4.958016
7.614836,3.3097475
6.65813,-3.2773037
7.744979,-1.8238851
7.15305,-2.8445876
7.2445865,-2.8800418
7.187362,-3.4825046
-5.423208,-3.76034
-6.1876936,-4.802767
-0.9606887,-4.2037506
3.538214,-3.2546935
8.257747,-3.606389
10.720699,1.9587076
10.371829,4.237979
11.430183,1.6024382
5.1542697,3.0709765
7.411863,-0.44018942
-7.5174203,-5.560858
-8.192925,-0.1368647
2.2534697,1.7264051
5.0949335,5.0892696
-1.8162086,-3.345835
-7.1042356,-3.898204
3.1350489,0.43481633
-5.6792874,-1.6511928
11.306888,3.88462
5.449609,-1.0631647
-6.345879,1.0083102
-4.453212,-0.6655992
-6.3998585,0.78669
7.351599,-3.122442
6.9689326,-3.363334
-7.063193,1.5745777
12.419768,5.046743
11.547576,1.1614596
7.48388,1.4685462
5.8734083,3.9833589
6.5918927,3.1985886
7.019003,-2.0552514
11.553641,2.2217605
7.5473294,4.5004773
8.336966,-0.9365221
6.760289,-2.8032634
11.77136,2.312207
7.173408,4.2539916
12.577205,4.850416
9.047117,-1.5746406
11.001693,3.266409
7.740979,3.9083347
10.302574,4.187577
7.8051863,1.3984635
11.011835,1.7651764
10.2116375,3.9608593
10.387114,4.1104436
1.057851,-2.629494
-10.153828,4.39935
2.8462348,6.102106
-2.8298717,-5.214891
3.8919282,2.41884
4.040295,2.0347493
8.675252,5.8018622
-6.3199525,-1.9197485
-5.706427,-1.1359187
-0.17621422,1.4776769
8.277107,1.1564032
9.3259,3.0396037
-8.761156,4.2799673
4.9271135,3.417782
6.1101007,-2.4505439
3.9924233,5.314136
-5.0020137,-1.3870314
4.621957,-2.5464942
4.647369,-2.4966617
1.6786267,-0.54612184
6.107379,3.952368
7.60381,4.9013553
-8.371485,2.0802536
1.8084571,-0.030040527
0.70027655,0.25903454
1.9784791,-2.3437548
11.226087,4.3993883
5.535607,0.42415774
9.435807,4.726959
-0.37959102,-1.4146678
0.17647918,-2.956567
11.676754,4.765314
7.0459924,5.3833976
2.911556,0.6700935
-5.9106674,-3.9068155
7.6167054,4.4103556
-0.7604227,0.0739866
0.7306091,3.5426226
-0.14069077,0.48571092
-2.0291898,-4.905321
-3.4037988,-4.5675445
-0.3243773,2.6990273
0.15193157,2.1274643
-0.16959077,2.5684857
-0.6751772,3.0062976
-0.20835617,2.8288567
-1.4098302,3.1603644
7.3386393,3.2255938
1.9967963,1.4615717
8.1712475,-1.5727998
2.042905,-6.4510183
3.4453347,0.7483745
-2.2493815,-1.7868975
5.7194395,5.0342946
3.8036718,-3.308717
2.0105457,0.9549
0.3489315,-0.07791475
4.3158126,1.9753302
-6.580819,-2.8814754
-7.5326695,0.22196253
-8.227879,1.192079
-7.6982307,-0.016004667
2.5501919,-3.3352792
-0.20859188,-0.8098403
-5.619105,-1.2597347
3.8541296,3.2864547
-0.22600876,3.013142
-0.026576174,0.40051433
9.20298,2.1772547
11.613859,2.866204
-6.5624475,-4.661567
-6.6830125,1.2393537
-0.5300307,0.20895365
-7.5639577,-4.124162
-1.883583,-0.017600253
-7.1814375,0.70753026
7.863857,3.9163415
-2.5723941,1.3414183
-7.1182637,-3.4885015
-6.4601316,-3.4153671
-6.0991597,-0.3863041
-8.019117,1.0446023
3.1066606,0.29981828
4.49748,-2.2743514
-7.66766,-3.928955
-7.610002,0.44091105
-3.132659,-5.2589808
-2.746602,-5.5215955
-3.1447508,-5.466132
0.6711815,1.4175571
-0.3157919,2.3550017
3.1239982,-0.26752847
11.767415,2.152487
7.9481225,1.2174356
-0.29660764,0.29032648
-7.6782737,-3.8211415
4.393919,2.5723755
2.6928012,2.2096639
2.8667908,0.3157758
-8.874209,0.7115093
-6.5159926,-2.0790038
4.2339044,5.271528
-1.2435114,-2.5735424
1.6759384,-0.9248605
11.751478,4.758898
